time_seconds,speed_meters_per_second,acceleration_meters_per_second_squared
2,0,-0.026637504
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,0,0
13,0,0
14,0,0
15,0.10140178,0.10140178
16,0.056577712,-0.044824068
17,0.033049334,-0.023528378
19,0.014422788,-0.009313273
20,0.022567842,0.008145054
22,0.012744946,-0.004911448
23,0.009266041,-0.003478905
24,0.007163984,-0.002102057
26,0.005575264,-0.00079436
27,0.003451408,-0.002123856
29,0.005236584,0.000892588
30,0.004776117,-0.000460467
32,0.016679863,0.005951873
33,0.010623721,-0.006056142
34,0.00645793,-0.004165791
35,0.00384772,-0.00261021
36,0.003402715,-0.000445005
37,0.003064654,-0.000338061
38,0.005290777,0.002226123
39,0.00680291,0.001512132
40,0.006504585,-0.000298324
41,0.006575307,7.07E-05
42,0.007208326,0.000633019
43,0.005444904,-0.001763422
44,0.007071925,0.001627021
46,0.00617921,-0.000446358
47,0.005661708,-0.000517502
49,0.006693967,0.000516129
50,0.007275528,0.000581562
51,0.005012856,-0.002262672
53,0.006160361,0.000573752
54,0.005289958,-0.000870403
56,0.007246581,0.000978312
57,0.005336182,-0.001910399
59,0.010138623,0.00240122
60,0.006220433,-0.003918189
62,0.004388425,-0.000916004
63,0.003743022,-0.000645403
65,0.00691804,0.001587509
66,0.005190951,-0.001727089
68,0.00773618,0.001272614
69,0.007298017,-0.000438163
71,0.006220039,-0.000538989
72,0.008256017,0.002035978
74,0.027174877,0.00945943
75,0.019135956,-0.008038921
76,0.010930963,-0.008204993
78,0.008121336,-0.001404814
79,0.007735534,-0.000385802
81,0.008312891,0.000288678
82,0.006298441,-0.00201445
83,0.005128986,-0.001169456
84,0.005299833,0.000170847
85,0.004812425,-0.000487408
86,0.004397067,-0.000415358
87,0.005542196,0.001145129
88,0.006763425,0.001221229
89,0.006207266,-0.000556159
90,0.005580023,-0.000627243
91,0.005464532,-0.000115491
92,0.006021432,0.0005569
93,0.004274451,-0.001746981
95,0.006525377,0.001125463
96,0.004392585,-0.002132792
98,0.008317395,0.001962405
99,0.009127741,0.000810346
101,0.009430938,0.000151598
102,0.006526321,-0.002904617
104,0.014459572,0.003966626
105,0.010425471,-0.004034101
106,0.007219286,-0.003206185
107,0.007333229,0.000113944
108,0.008160071,0.000826842
109,0.006387329,-0.001772742
110,0.005079954,-0.001307375
111,0.006101205,0.001021251
112,0.005478006,-0.000623199
113,0.006026279,0.000548272
114,0.007732545,0.001706266
115,0.0068664,-0.000866145
117,0.005145509,-0.000860445
118,0.004211153,-0.000934356
120,0.005653969,0.000721408
121,0.005491193,-0.000162776
123,0.011352835,0.002930821
124,0.008324196,-0.003028639
125,0.006855679,-0.001468517
126,0.006733132,-0.000122547
127,0.006166964,-0.000566168
128,0.011724102,0.005557138
129,0.011723407,-6.95E-07
130,0.007896191,-0.003827216
131,0.006117126,-0.001779065
132,0.006219313,0.000102187
133,0.005998852,-0.000220461
