time_seconds,speed_meters_per_second,acceleration_meters_per_second_squared,Acceleration_Type,Deceleration_Type,Good_Driver
1.002000128,0.08750985,-0.113910175,,Smooth Deceleration,TRUE
2.005000192,0.11696843,0.029370467,Rapid Acceleration,,FALSE
2.992999936,0.049259275,-0.068531551,,Smooth Deceleration,TRUE
3.992999936,0,-0.049259275,,Smooth Deceleration,TRUE
4.992999936,0,0,Stationary,Stationary,FALSE
5.519000064,0,0,Stationary,Stationary,FALSE
6.519000064,0,0,Stationary,Stationary,FALSE
7.519000064,0,0,Stationary,Stationary,FALSE
8.519000064,0.028962284,0.028962284,Rapid Acceleration,,FALSE
10.51900006,0.007857644,-0.01055232,,Smooth Deceleration,TRUE
11.51900006,0.030938514,0.02308087,Rapid Acceleration,,FALSE
12.51900006,0.014114901,-0.016823614,,Smooth Deceleration,TRUE
14.51900006,0.028660595,0.007272847,Rapid Acceleration,,FALSE
15.51900006,0.010805238,-0.017855357,,Smooth Deceleration,TRUE
17.51900006,0.010997381,9.61E-05,Rapid Acceleration,,FALSE
18.51900006,0.008901903,-0.002095478,,Smooth Deceleration,TRUE
20.51900006,0,-0.004450952,,Smooth Deceleration,TRUE
21.51900006,0,0,Stationary,Stationary,FALSE
23.51900006,0,0,Stationary,Stationary,FALSE
24.51900006,0,0,Stationary,Stationary,FALSE
25.51900006,0,0,Stationary,Stationary,FALSE
26.51900006,0,0,Stationary,Stationary,FALSE
27.51900006,0,0,Stationary,Stationary,FALSE
28.51900006,0,0,Stationary,Stationary,FALSE
29.51900006,0,0,Stationary,Stationary,FALSE
30.51900006,0,0,Stationary,Stationary,FALSE
31.51900006,0,0,Stationary,Stationary,FALSE
32.51900006,0,0,Stationary,Stationary,FALSE
33.51900006,0,0,Stationary,Stationary,FALSE
34.51900006,0,0,Stationary,Stationary,FALSE
36.51900006,0,0,Stationary,Stationary,FALSE
37.51900006,0,0,Stationary,Stationary,FALSE
39.51900006,0,0,Stationary,Stationary,FALSE
40.51900006,0,0,Stationary,Stationary,FALSE
42.51900006,0,0,Stationary,Stationary,FALSE
43.51900006,0,0,Stationary,Stationary,FALSE
44.51900006,0,0,Stationary,Stationary,FALSE
46.51900006,0.2501357,0.12506785,Rapid Acceleration,,FALSE
48.51900006,0.39075348,0.07030889,Rapid Acceleration,,FALSE
49.51900006,0.49146104,0.10070756,Rapid Acceleration,,FALSE
50.51900006,0.6223338,0.13087276,Rapid Acceleration,,FALSE
