timestamp,latitude,longitude,elevation,accuracy,bearing,speed_meters_per_second,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation,distance_meters,elapsed_time_seconds
1577396940,-27.71776726,-51.09900156,989.7429348,12,217.02611,0.11275617,0,gps,1.3,1.4,2,3.6,,,,92,,0,0
1577396941,-27.71772135,-51.09901474,984.6223802,4,1.3448515,0.18843772,11,gps,1.3,1.3,1.9,3.6,,,,92,,5.251019313,1.006999969
1577396942,-27.71774148,-51.09902291,986.6734603,6,82.32176,0.19267002,11,gps,1.2,1.7,2.1,3.6,,,,92,,2.372088638,0.998000145
1577396943,-27.71774152,-51.09902294,989.7834612,8,,0,10,gps,0.9,1,1.3,3.6,,,,92,,0.005181247,1
1577396944,-27.71774194,-51.09902287,989.6858232,8,,0,16,gps,0.8,1,1.3,3.6,,,,92,,0.047497547,1
1577396945,-27.71774228,-51.09902296,990.1090821,8,,0,16,gps,0.7,1,1.3,3.6,,,,92,,0.038844362,1.101999998
1577396946,-27.71774251,-51.09902306,990.6050457,6,,0,16,gps,0.7,1,1.3,3.6,,,,92,,0.027267891,1
1577396947,-27.71774313,-51.09902317,990.0664593,6,,0,16,gps,0.7,1,1.3,3.6,,,,92,,0.069027228,1
1577396948,-27.71774341,-51.09902328,989.3583186,6,,0,17,gps,0.7,1,1.3,3.6,,,,92,,0.032853755,1
1577396950,-27.71774626,-51.0990245,988.2549714,6,,0,17,gps,1,1.3,1.7,3.6,,,,92,,0.338155471,2
1577396951,-27.71774682,-51.09902478,988.465173,6,,0,17,gps,1,1.3,1.7,3.6,,,,92,,0.067932188,1
1577396952,-27.71774681,-51.09902484,988.68134,6,,0,17,gps,0.8,1,1.3,3.6,,,,92,,0.006547394,1
1577396953,-27.7177515,-51.09902482,988.808779,6,,0,17,gps,0.8,1,1.3,3.6,,,,92,,0.519590554,1
1577396954,-27.71775158,-51.09902476,988.9430508,4,,0,17,gps,0.8,1,1.3,3.6,,,,92,,0.011247127,1
1577396955,-27.71775154,-51.09902468,989.0372392,4,,0,17,gps,1,1.3,1.7,3.6,,,,92,,0.008936195,1
1577396956,-27.71775108,-51.09901723,989.1654023,4,,0,17,gps,1.1,1.4,1.7,3.6,,,,92,,0.736103755,1
1577396957,-27.71775316,-51.09901663,989.4767028,4,,0,17,gps,0.9,1,1.3,3.6,,,,92,,0.238200992,1
1577396958,-27.71775198,-51.09901544,989.4671515,4,,0,17,gps,0.8,1,1.3,3.6,,,,92,,0.175886648,1
1577396959,-27.71775213,-51.09901303,989.4255989,4,,0,17,gps,0.8,1,1.3,3.6,,,,92,,0.238614378,1
1577396960,-27.71775225,-51.09901164,989.5496926,4,,0,17,gps,0.8,1,1.3,3.6,,,,92,,0.137097362,1
1577396961,-27.71775351,-51.09901216,989.4846161,4,,0,16,gps,0.8,1.1,1.4,3.6,,,,92,,0.148023409,1
1577396962,-27.7177561,-51.09901208,989.7779599,4,,0,16,gps,0.8,1,1.3,3.6,,,,92,,0.287141086,1
1577396963,-27.7177559,-51.0990127,989.7206215,4,,0,16,gps,0.8,1,1.3,3.6,,,,92,,0.064145404,1
1577396964,-27.71775633,-51.09901201,989.920981,4,,0,16,gps,0.8,1,1.3,3.6,,,,92,,0.083074595,1
1577396965,-27.71775679,-51.09901226,989.8014485,4,,0,16,gps,0.8,1.1,1.4,3.6,,,,92,,0.056277539,1
1577396966,-27.71775641,-51.09901184,989.9325757,4,,0,16,gps,0.8,1.1,1.4,3.6,,,,92,,0.059383778,1
1577396967,-27.71775628,-51.09901193,989.9400283,4,,0,16,gps,0.8,1,1.3,3.6,,,,92,,0.017270924,1
1577396968,-27.71775578,-51.09901175,989.9034657,4,,0,16,gps,0.8,1,1.3,3.6,,,,92,,0.057639079,1
1577396969,-27.71775578,-51.09901394,989.7813169,4,,0,16,gps,0.7,1,1.3,3.6,,,,92,,0.215650503,1
1577396970,-27.71775536,-51.09901414,989.8809318,4,,0,16,gps,0.8,1.1,1.4,3.6,,,,92,,0.050729969,1
1577396971,-27.71775539,-51.09901392,990.0418777,4,,0,16,gps,0.8,1,1.3,3.6,,,,92,,0.022383725,1
1577396973,-27.71775424,-51.09901283,990.10321,4,,0,16,gps,0.8,1,1.3,3.6,,,,92,,0.166982561,2
1577396974,-27.71775296,-51.09901166,990.1478277,4,,0,17,gps,0.7,1,1.3,3.6,,,,92,,0.182877281,1
1577396975,-27.71775219,-51.09901089,989.9750935,4,,0,17,gps,0.7,1,1.3,3.6,,,,92,,0.113635924,1
1577396977,-27.71775171,-51.09901163,989.7098674,4,,0,17,gps,0.7,1,1.3,3.6,,,,92,,0.090573715,2
1577396978,-27.71775196,-51.09901242,989.7542133,6,,0,18,gps,0.7,1,1.3,3.6,,,,92,,0.082498709,1
1577396980,-27.71775205,-51.09901473,989.59031,6,,0,18,gps,0.8,1,1.3,3.6,,,,92,,0.228679593,2
1577396981,-27.71775334,-51.09901518,989.177284,6,,0,18,gps,0.7,1,1.3,3.6,,,,92,,0.149660848,1
1577396983,-27.71775511,-51.09901662,988.1907162,6,,0,18,gps,0.7,1,1.3,3.6,,,,92,,0.241904061,2
1577396984,-27.71775617,-51.0990168,987.7459389,6,,0,18,gps,0.7,1,1.3,3.6,,,,92,,0.119023615,1
1577396986,-27.71775772,-51.09901822,986.7668605,4,,0,18,gps,0.7,1,1.3,3.6,,,,92,,0.221391677,2
1577396987,-27.71775844,-51.09901835,986.3352949,4,,0,18,gps,0.8,1,1.3,3.6,,,,92,,0.08101928,1
1577396988,-27.71775758,-51.09901903,985.7662136,4,,0,18,gps,0.7,1,1.3,3.6,,,,92,,0.116988602,1
1577396989,-27.71775682,-51.09901926,985.2785738,4,,0,18,gps,0.7,1,1.3,3.6,,,,92,,0.0865433,1
1577396990,-27.71775633,-51.09901824,984.9451359,4,,0,18,gps,0.7,1,1.3,3.6,,,,92,,0.113945453,1
1577396991,-27.71775607,-51.09901821,984.6256035,4,,0,18,gps,0.9,1,1.3,3.6,,,,92,,0.028992022,1
1577396992,-27.71775615,-51.09901816,984.4665186,4,,0,18,gps,0.8,0.9,1.2,3.6,,,,92,,0.010963099,1
1577396993,-27.71775657,-51.09901874,984.2562886,4,,0,18,gps,0.8,0.9,1.2,3.6,,,,92,,0.073284235,1
1577396994,-27.71775699,-51.0990191,984.123342,4,,0,18,gps,0.7,1,1.3,3.6,,,,92,,0.059276012,1
1577396995,-27.71775708,-51.09901895,983.802625,4,,0,18,gps,0.8,0.9,1.2,3.6,,,,92,,0.018166765,1
1577396996,-27.71775708,-51.09901881,983.6355988,4,,0,18,gps,0.8,0.9,1.2,3.6,,,,92,,0.013822972,1
1577396997,-27.71775702,-51.0990186,983.6093522,4,,0,18,gps,0.8,0.9,1.2,3.6,,,,92,,0.022219376,1
1577396999,-27.71775737,-51.09901865,983.3905759,4,,0,18,gps,0.8,0.9,1.2,3.6,,,,92,,0.03901713,2
1577397000,-27.71775726,-51.09901846,983.3545473,4,,0,18,gps,0.8,0.9,1.2,3.6,,,,92,,0.022929087,1
1577397002,-27.71775749,-51.09901765,983.0857025,4,,0,18,gps,0.7,1,1.3,3.6,,,,92,,0.084029706,2
1577397003,-27.71775722,-51.09901738,982.9515506,4,,0,18,gps,0.8,0.9,1.2,3.6,,,,92,,0.040068521,1
1577397004,-27.71775661,-51.09901697,982.7960265,4,,0,18,gps,0.8,0.9,1.2,3.6,,,,92,,0.078362635,1
1577397006,-27.71775611,-51.09901724,982.5556414,4,,0,18,gps,0.7,1,1.3,3.6,,,,92,,0.061637559,2
1577397007,-27.71775564,-51.09901712,982.3601537,4,,0,18,gps,0.8,0.9,1.2,3.6,,,,92,,0.053403282,1
1577397009,-27.71775521,-51.0990173,982.0715977,4,,0,17,gps,0.8,1,1.3,3.6,,,,92,,0.049813231,2
1577397010,-27.71775524,-51.0990174,981.9911607,4,,0,17,gps,0.8,0.9,1.2,3.6,,,,92,,0.010580135,1
1577397012,-27.71775585,-51.09901795,981.7629792,4,,0,18,gps,0.7,1,1.3,3.6,,,,92,,0.086879212,2
1577397013,-27.71775622,-51.09901753,981.6600452,4,,0,17,gps,0.8,1,1.3,3.6,,,,92,,0.058345801,1
1577397015,-27.7177561,-51.09901755,981.4842057,4,,0,17,gps,0.8,0.9,1.2,3.6,,,,92,,0.013569219,2
1577397016,-27.71775597,-51.09901752,981.3454093,4,,0,17,gps,0.8,0.9,1.2,3.6,,,,92,,0.014710803,1
1577397017,-27.71775622,-51.09901773,981.2699615,4,,0,17,gps,0.8,1.1,1.4,3.6,,,,92,,0.034428371,1
1577397019,-27.71775624,-51.09901752,981.1651456,4,,0,17,gps,0.8,1,1.3,3.6,,,,92,,0.021210131,2
1577397020,-27.71775596,-51.09901739,981.088936,4,,0,17,gps,0.8,0.9,1.2,3.6,,,,92,,0.033037684,1
1577397022,-27.71775567,-51.0990172,980.9865576,4,,0,17,gps,0.8,1,1.3,3.6,,,,92,,0.037655836,2
1577397023,-27.71775553,-51.09901738,980.8682024,4,,0,17,gps,0.8,1,1.3,3.6,,,,92,,0.023380832,1
1577397025,-27.71775503,-51.09901697,980.7000306,4,,0,17,gps,0.8,1,1.2,3.6,,,,92,,0.067920545,2
1577397026,-27.71775507,-51.09901694,980.7300086,4,,0,17,gps,0.7,1,1.3,3.6,,,,92,,0.005474769,1
1577397028,-27.71775491,-51.09901639,980.6956906,4,,0,17,gps,0.7,1,1.3,3.6,,,,92,,0.05720877,2
1577397029,-27.71775493,-51.09901629,980.7377904,4,,0,17,gps,0.7,1,1.3,3.6,,,,92,,0.010357146,1
1577397031,-27.7177542,-51.09901562,980.7421785,4,,0,17,gps,0.8,1,1.3,3.6,,,,92,,0.104821087,2
1577397032,-27.71775417,-51.09901537,980.741071,4,,0,17,gps,0.8,1,1.3,3.6,,,,92,,0.024936485,1
1577397033,-27.71775411,-51.09901512,980.7868664,4,,0,17,gps,0.8,1,1.3,3.6,,,,92,,0.024879495,1
1577397035,-27.71775415,-51.09901468,980.8677292,4,,0,17,gps,0.8,1,1.3,3.6,,,,92,,0.043225737,2
1577397036,-27.71775393,-51.09901426,980.9134121,4,,0,17,gps,0.8,0.9,1.2,3.6,,,,92,,0.048756503,1
1577397038,-27.71775383,-51.09901372,980.9291544,4,,0,17,gps,0.8,1,1.3,3.6,,,,91,,0.054116178,2
1577397039,-27.71775382,-51.09901364,980.9799255,4,,0,17,gps,0.7,1,1.3,3.6,,,,91,,0.007480543,1
1577397040,-27.71775375,-51.09901332,981.0103936,4,,0,17,gps,0.8,1,1.3,3.6,,,,91,,0.032529718,1
1577397042,-27.71775306,-51.0990124,981.0364268,4,,0,17,gps,0.7,1,1.3,3.6,,,,91,,0.118920622,2
1577397043,-27.71775276,-51.09901235,981.0524616,4,,0,17,gps,0.7,1,1.3,3.6,,,,91,,0.032703198,1
1577397045,-27.71775193,-51.09901219,980.993635,4,,0,17,gps,0.8,1,1.3,3.6,,,,91,,0.094212809,2
1577397046,-27.71775155,-51.09901217,980.9198364,4,,0,18,gps,0.7,1,1.3,3.6,,,,91,,0.04216611,1
1577397048,-27.71775099,-51.09901218,980.8384506,4,,0,18,gps,0.8,0.9,1.2,3.6,,,,91,,0.061577462,2
1577397049,-27.71775063,-51.09901199,980.7585212,4,,0,18,gps,0.8,0.9,1.2,3.6,,,,91,,0.044026938,1
1577397051,-27.7177501,-51.09901239,980.6963571,4,,0,18,gps,0.8,0.9,1.2,3.6,,,,91,,0.06997972,2
1577397052,-27.7177498,-51.09901253,980.6363667,4,,0,18,gps,0.8,0.9,1.2,3.6,,,,91,,0.036201678,1
1577397058,-27.71774799,-51.09901183,980.4867519,4,,0,18,gps,0.8,1,1.3,3.6,,,,91,,0.212052442,6
1577397059,-27.71774775,-51.09901187,980.4564887,4,,0,18,gps,0.9,1,1.3,3.6,,,,91,,0.027603537,1
1577397060,-27.71774754,-51.09901187,980.4683856,4,,0,18,gps,0.7,1,1.3,3.6,,,,91,,0.022681433,1
1577397061,-27.71774721,-51.09901155,980.4043729,4,,0,18,gps,0.8,0.9,1.2,3.6,,,,91,,0.048188802,1
1577397062,-27.71774715,-51.09901151,980.3863288,4,,0,18,gps,0.8,0.9,1.2,3.6,,,,91,,0.008193747,1
1577397063,-27.7177469,-51.0990113,980.3556296,4,,0,18,gps,0.8,0.9,1.2,3.6,,,,91,,0.034469782,1
1577397064,-27.71774657,-51.0990113,980.3085228,4,,0,18,gps,0.7,1,1.3,3.6,,,,91,,0.037211644,1
1577397065,-27.71774634,-51.09901126,980.3128112,4,,0,18,gps,0.9,1,1.3,3.6,,,,91,,0.025313557,1
1577397066,-27.71774635,-51.099011,980.2808232,4,,0,18,gps,0.8,0.9,1.2,3.6,,,,91,,0.026060997,1
1577397067,-27.71774618,-51.09901123,980.2808236,4,,0,18,gps,0.8,1,1.3,3.6,,,,91,,0.029801135,1
1577397069,-27.71774543,-51.0990113,980.2646777,4,,0,18,gps,0.8,1,1.3,3.6,,,,91,,0.083143345,2
1577397070,-27.71774521,-51.09901153,980.2395961,4,,0,18,gps,0.8,0.9,1.2,3.6,,,,91,,0.03330805,1
1577397072,-27.71774474,-51.09901163,980.1980074,4,,0,18,gps,0.8,1,1.3,3.6,,,,91,,0.052387798,2
1577397073,-27.71774484,-51.09901176,980.1598683,4,,0,18,gps,0.8,1,1.3,3.6,,,,91,,0.016934558,1
1577397074,-27.71774445,-51.09901179,980.0777093,4,,0,18,gps,0.8,1,1.3,3.6,,,,91,,0.042898971,1
1577397076,-27.71774393,-51.09901136,980.0358399,4,,0,18,gps,0.9,1,1.3,3.6,,,,91,,0.072337322,2
1577397078,-27.71774368,-51.0990112,980.0092199,4,,0,18,gps,0.8,1,1.3,3.6,,,,91,,0.032182994,2
1577397079,-27.71774375,-51.09901194,979.9650223,4,,0,18,gps,0.8,0.9,1.3,3.6,,,,91,,0.073763795,1
1577397081,-27.71774356,-51.09901175,979.9304491,4,,0,18,gps,0.8,1,1.3,3.6,,,,91,,0.028510796,2
1577397082,-27.71774363,-51.09901144,979.9408189,4,,0,18,gps,0.8,1,1.3,3.6,,,,91,,0.03230815,1
1577397084,-27.71774384,-51.09901095,979.9699665,4,,0,18,gps,0.8,0.9,1.2,3.6,,,,91,,0.053351736,2
1577397085,-27.717744,-51.09901053,980.0135656,4,,0,17,gps,0.8,0.9,1.3,3.6,,,,91,,0.044889257,1
1577397086,-27.71774392,-51.09901008,980.0362751,4,,0,17,gps,0.8,0.9,1.2,3.6,,,,91,,0.04484781,1
1577397088,-27.71774401,-51.09901005,980.0170968,4,,0,17,gps,0.8,1,1.3,3.6,,,,91,,0.010797354,2
1577397089,-27.71774382,-51.09900956,980.0054452,4,,0,17,gps,0.8,0.9,1.2,3.6,,,,91,,0.052093008,1
